speed: 0 ; cp: [''] ; reward: -0.15
speed: 28 ; cp: [''] ; reward: -0.11515555555555554
speed: 29 ; cp: [''] ; reward: -0.11262222222222222
speed: 51 ; cp: [''] ; reward: -0.03439999999999997
speed: 51 ; cp: [''] ; reward: -0.03439999999999997
speed: 53 ; cp: [''] ; reward: -0.025155555555555556
speed: 55 ; cp: [''] ; reward: -0.015555555555555572
speed: 58 ; cp: [''] ; reward: -0.0004888888888888998
speed: 98 ; cp: [''] ; reward: 0.27684444444444445
speed: 59 ; cp: [''] ; reward: 0.00471111111111111
speed: 58 ; cp: [''] ; reward: -0.0004888888888888998
speed: 58 ; cp: [''] ; reward: -0.0004888888888888998
speed: 55 ; cp: [''] ; reward: -0.015555555555555572
speed: 53 ; cp: [''] ; reward: -0.025155555555555556
speed: 52 ; cp: [''] ; reward: -0.02982222222222221
speed: 52 ; cp: [''] ; reward: -0.02982222222222221
speed: 55 ; cp: [''] ; reward: -0.015555555555555572
speed: 55 ; cp: ['1', '8'] ; reward: 19.984444444444446
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 54 ; cp: ['1', '8'] ; reward: -0.0204
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 55 ; cp: ['1', '8'] ; reward: -0.015555555555555572
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 59 ; cp: ['1', '8'] ; reward: 0.00471111111111111
speed: 92 ; cp: ['1', '8'] ; reward: 0.22617777777777773
speed: 24 ; cp: ['1', '8'] ; reward: -0.1244
speed: 98 ; cp: ['1', '8'] ; reward: 0.27684444444444445
speed: 98 ; cp: ['1', '8'] ; reward: 0.27684444444444445
speed: 92 ; cp: ['1', '8'] ; reward: 0.22617777777777773
speed: 180 ; cp: ['1', '8'] ; reward: 1.29
speed: 99 ; cp: ['1', '8'] ; reward: 0.2856000000000001
speed: 181 ; cp: ['1', '8'] ; reward: 1.3060444444444448
speed: 182 ; cp: ['1', '8'] ; reward: 1.322177777777778
speed: 182 ; cp: ['1', '8'] ; reward: 1.322177777777778
speed: 180 ; cp: ['1', '8'] ; reward: 1.29
speed: 92 ; cp: ['1', '8'] ; reward: 0.22617777777777773
speed: 95 ; cp: ['1', '8'] ; reward: 0.25111111111111106
speed: 93 ; cp: ['1', '8'] ; reward: 0.23440000000000003
speed: 93 ; cp: ['1', '8'] ; reward: 0.23440000000000003
speed: 91 ; cp: ['1', '8'] ; reward: 0.21804444444444446
speed: 59 ; cp: ['1', '8'] ; reward: 0.00471111111111111
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 55 ; cp: ['1', '8'] ; reward: -0.015555555555555572
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 51 ; cp: ['1', '8'] ; reward: -0.03439999999999997
speed: 29 ; cp: ['1', '8'] ; reward: -0.11262222222222222
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 51 ; cp: ['1', '8'] ; reward: -0.03439999999999997
speed: 29 ; cp: ['1', '8'] ; reward: -0.11262222222222222
speed: 22 ; cp: ['1', '8'] ; reward: -0.12848888888888887
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 54 ; cp: ['1', '8'] ; reward: -0.0204
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 55 ; cp: ['1', '8'] ; reward: -0.015555555555555572
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 22 ; cp: ['1', '8'] ; reward: -0.12848888888888887
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 48 ; cp: ['1', '8'] ; reward: -0.04759999999999999
